Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,OrientationAzimuth,OrientationPitch,OrientationRoll,GameRotX,GameRotY,GameRotZ,GameRotW,Pressure
1747666369529,-1.2921243,5.020142,9.619147,0.223042,1.9462152,0.6985239,-35.53125,-49.518753,-24.900002,129.58527,-30.240816,-10.213452,0.13242894,0.2394771,0.66983134,0.6902458,0.0
1747666369550,0.19621146,5.4173503,8.085348,0.3079522,2.0207407,0.49327332,-35.325,-49.518753,-25.706251,128.17677,-29.605299,-9.829324,0.12950735,0.23554686,0.6844815,0.6776655,0.0
1747666369571,0.09332009,5.690132,6.991828,0.07582359,1.6719369,0.23793183,-34.893753,-49.575,-25.968752,126.239586,-31.236792,-8.629819,0.14222032,0.24345313,0.69255066,0.6639861,0.0
1747666369591,-0.78723866,5.7786665,7.5996046,-0.20517421,0.98654664,0.088269964,-34.21875,-49.500004,-26.718752,124.78431,-32.8975,-8.381475,0.14867379,0.25232354,0.69764346,0.65385205,0.0
1747666369611,-1.9238294,5.4867425,7.015756,-0.7653372,-0.2761109,0.11636974,-33.037502,-49.275,-27.825,124.031334,-33.629818,-8.879048,0.14740397,0.2591823,0.6992316,0.64974743,0.0
1747666369631,-1.4452649,5.7355957,8.202596,-1.2039381,-0.8979712,0.11026109,-32.15625,-48.862503,-28.237501,123.86919,-33.24727,-9.066937,0.14439942,0.25465748,0.7000247,0.6513554,0.0
1747666369651,-1.3208381,5.613562,9.078369,-1.4177408,-1.0488548,-0.035124727,-31.837502,-48.225002,-28.500002,123.65794,-32.163525,-8.090823,0.14349873,0.24195239,0.7015756,0.6547205,985.8022
1747666369671,-1.2131611,5.4053864,10.497313,-1.2442552,-1.1740822,-0.29352054,-31.781252,-47.475002,-28.781252,123.696434,-30.606844,-6.970377,0.14047089,0.22569369,0.7023886,0.6602883,985.8022
1747666369692,-1.6031911,5.5537415,10.9375925,-0.6474403,-1.4391974,-0.45417798,-32.175003,-46.6875,-28.95,124.13525,-28.980106,-5.846071,0.13902302,0.20979251,0.70066506,0.66762877,985.8742
1747666369712,-1.4691931,5.682954,10.322637,-0.107435845,-1.301142,-0.32895067,-32.925003,-45.862503,-28.743752,124.84939,-28.058878,-4.8537846,0.14320785,0.19768642,0.69522345,0.6760739,985.8742
1747666369733,-0.68195444,5.639883,9.623933,0.3617083,-0.66095567,-0.1640172,-33.65625,-45.112503,-28.575,125.38083,-27.999138,-4.0330524,0.14997059,0.19443567,0.69150305,0.6793579,985.9394
1747666369755,-0.8470592,5.8672013,10.320244,0.68852097,-0.17226386,-0.10537417,-34.2,-44.68125,-27.487501,125.674065,-28.706156,-3.399463,0.15647013,0.19634832,0.68883324,0.68005383,985.9394
1747666369776,-1.1126626,5.503492,10.554741,1.0354922,-0.20891576,9.162972E-4,-35.268753,-44.737503,-26.400002,125.96839,-29.984356,-3.4739933,0.16288224,0.2029391,0.68576205,0.67971724,985.9755
1747666369796,-0.40917268,5.252246,9.676575,1.1753802,-0.31276277,0.051618073,-35.53125,-45.112503,-25.706251,126.10446,-30.989685,-3.3363616,0.16998461,0.20785022,0.6833765,0.6788962,985.9755
1747666369817,0.36131623,5.6039906,8.717052,1.175991,-0.20647229,-0.053450666,-35.475002,-45.881252,-25.875002,126.14509,-32.17344,-2.9043329,0.17964192,0.21225534,0.68102217,0.67741066,986.0175
1747666369838,-0.016749758,5.838487,8.018349,1.0507637,-0.11484258,-0.11759147,-35.98125,-46.59375,-25.5375,126.22102,-33.459995,-2.5342252,0.18960243,0.21753938,0.67817885,0.6758706,986.0175
1747666369859,-0.36610186,5.534599,7.4679995,0.7270054,-0.020158539,0.06994402,-36.35625,-47.60625,-25.181252,126.32155,-34.651455,-2.4755821,0.19876832,0.22544509,0.67483544,0.67399025,986.0424
1747666369880,0.15074782,5.4029937,8.209774,0.46311185,0.06902772,0.1517999,-36.600002,-48.187504,-25.1625,126.24788,-35.50195,-2.43469,0.20351915,0.22942664,0.67406505,0.6719968,986.0424
1747666369900,-0.009571291,5.534599,8.865408,0.30550876,0.2535089,0.13347395,-37.256252,-48.825,-24.88125,125.997375,-35.983192,-2.257774,0.20578428,0.2310243,0.6747733,0.670046,986.05316
1747666369921,-0.17706887,5.0129633,9.480363,0.27252206,0.23212862,0.1395826,-37.18125,-49.518753,-24.806252,125.831726,-36.06559,-2.3684077,0.20482492,0.23273571,0.6764326,0.6680716,986.05316
1747666369942,0.26799613,4.9770713,8.685946,0.38736463,0.077579826,0.13286309,-37.29375,-49.706253,-24.768751,125.71338,-36.040943,-2.4111123,0.20460247,0.23306072,0.6775572,0.6668859,986.0688
1747666369963,0.9236295,5.003392,7.472785,0.47777262,0.10690133,0.109039366,-37.2,-50.343754,-24.618752,125.55348,-36.24519,-2.2111514,0.20707569,0.23374929,0.6781975,0.66522855,986.0688
1747666369984,0.98584294,5.13739,7.4823565,0.48388126,0.16126831,0.11514801,-37.29375,-50.49375,-24.45,125.33213,-36.6724,-1.9452611,0.21057682,0.23547424,0.6787287,0.66297555,986.0815
1747666370006,1.5002998,5.096712,7.728817,0.47838348,0.08918626,0.13469568,-36.84375,-50.475002,-24.45,124.9401,-37.327713,-1.4990082,0.21508498,0.23724328,0.6796166,0.6599813,986.0778
1747666370026,1.6582261,5.1493545,7.34118,0.42096218,0.11911863,0.03695732,-36.91875,-50.943752,-24.525002,124.663574,-37.727207,-1.0670593,0.22007741,0.23807976,0.6804997,0.6571181,986.0778
1747666370048,0.6795616,5.0368915,7.4177504,0.2560287,0.06597339,0.009468404,-36.825,-50.943752,-24.375002,124.470856,-38.13378,-0.7045404,0.22293028,0.23884365,0.68073833,0.6556303,986.0861
1747666370069,0.43070808,4.723432,7.6259255,0.10881029,-0.09651663,0.058337588,-36.956253,-51.16875,-24.281252,124.41388,-38.226162,-0.53723764,0.22419262,0.23867907,0.68094444,0.65504557,986.0861
1747666370090,0.38524446,4.6612186,7.463214,0.0067958706,-0.171653,0.05222894,-37.18125,-51.656254,-24.45,124.36193,-38.124237,-0.22177199,0.22541901,0.23586674,0.6814189,0.65515,986.09174
1747666370112,0.21535404,4.8215375,7.066005,0.010461059,-0.07941242,0.04978548,-37.143753,-51.693752,-24.6,124.328156,-37.963776,0.08545106,0.22596905,0.23359944,0.6817652,0.6554125,986.09174
1747666370133,0.39960137,4.881358,6.570691,-0.0072540194,-0.09040799,0.042455103,-37.18125,-51.881252,-24.73125,124.28659,-37.87082,0.2595365,0.22633533,0.23239188,0.6820906,0.65537673,986.10345
1747666370155,0.6580262,4.800002,6.582655,0.006185006,-0.18264857,-0.027794348,-37.143753,-51.843754,-24.50625,124.23034,-37.8242,0.47680143,0.22773764,0.23046032,0.6821924,0.6554671,986.10345
1747666370175,0.70588267,4.9986067,6.407979,0.07948878,-0.171653,-0.18356487,-36.975002,-51.487503,-24.300001,124.250854,-37.795204,0.7658923,0.2293422,0.22895494,0.68137205,0.65628797,986.1005
1747666370196,0.5383851,5.608776,6.053841,0.12713623,-0.27794346,-0.25992295,-37.0875,-51.35625,-23.94375,124.68481,-38.020782,1.0271771,0.23212442,0.22866543,0.6787441,0.6581313,986.1005
1747666370217,1.2155539,5.6949177,5.960521,0.13507748,-0.32375833,-0.23182319,-37.10625,-51.3375,-23.775002,124.965935,-38.283363,1.2721523,0.23558113,0.2282983,0.67622143,0.6596257,986.0971
1747666370238,1.6199409,5.757131,5.7786665,0.058719378,-0.37262753,-0.4150826,-37.331253,-51.375004,-23.868752,125.256325,-38.540604,1.6397833,0.23967056,0.22723281,0.6735906,0.6612103,986.0971
1747666370260,0.6723832,6.3720865,5.871987,-0.07261655,-0.30543238,-0.53114694,-37.443752,-51.54375,-23.7,125.78921,-38.717968,1.86632,0.24298127,0.2259422,0.66989976,0.66418713,986.0893
1747666370281,0.30867413,6.9894347,6.216553,-0.17951788,-0.30482152,-0.40897396,-37.03125,-52.0875,-23.925001,126.43059,-38.811302,1.8163496,0.24485445,0.22516325,0.6650082,0.66866434,986.0893
1747666370303,0.6197411,7.1449685,6.812366,-0.1862374,-0.18936808,-0.28741187,-36.84375,-52.256252,-23.7,126.93543,-38.85202,1.7989119,0.24622689,0.22409959,0.6615193,0.6719702,986.07074
1747666370326,0.16510476,7.420143,7.381858,-0.10682498,-0.0036651888,-0.14263692,-37.050003,-52.331253,-23.60625,127.274254,-38.854435,1.8125567,0.24659961,0.22370787,0.6598922,0.67356193,986.07074
1747666370347,0.12203395,7.32443,8.032705,0.117362395,0.09040799,0.14019346,-37.350002,-52.331253,-23.00625,127.37777,-39.004646,1.65088,0.24680299,0.22517131,0.6596155,0.6732708,986.0605
1747666370368,0.55034924,7.207182,7.891529,0.3079522,0.15332706,0.29290965,-37.85625,-52.256252,-22.29375,127.04819,-39.30521,1.7332132,0.24837084,0.22715108,0.6607273,0.670935,986.04486
1747666370390,1.4644074,7.082755,7.800602,0.37087128,0.2272417,0.2122755,-37.85625,-52.256252,-22.21875,126.563705,-39.75148,1.8779168,0.25076944,0.23001845,0.6624073,0.6674,986.04486
1747666370412,1.1006985,6.867401,8.01117,0.36109746,0.042760536,-0.12247839,-38.175003,-52.425003,-21.956251,126.30798,-40.197563,1.9837571,0.25397226,0.23323376,0.66272736,0.6647501,986.0368
1747666370435,0.54317075,7.2382884,8.269595,0.3238347,0.12095123,-0.20983206,-37.987503,-52.7625,-22.087502,126.522606,-40.792744,1.8551977,0.25639218,0.23647952,0.66078645,0.66460645,986.0368
1747666370457,-0.1052842,7.499106,8.243274,0.28657195,0.08124501,-0.0033597562,-37.66875,-52.781254,-22.425001,126.70724,-41.15768,1.6096616,0.2578043,0.24028482,0.659087,0.6643828,986.0268
1747666370479,0.0526421,7.448857,8.16431,0.12530364,0.12400555,-0.035124727,-37.631252,-53.1375,-22.143751,126.6888,-41.524406,1.4376799,0.25864714,0.24265777,0.658786,0.66349065,986.0268
1747666370501,-0.89013004,7.5110703,8.580662,0.04344776,0.091018856,-0.11026109,-37.5,-53.100002,-22.0125,126.7718,-41.638027,1.2112522,0.25800154,0.24474539,0.65813845,0.66361785,986.0124
1747666370521,-1.5146568,7.685746,9.066405,0.13080142,0.18997894,0.0021380268,-37.74375,-53.550003,-21.88125,126.93998,-41.692783,0.8474201,0.25663775,0.24687506,0.6575194,0.6639714,986.0124
1747666370542,-1.4500505,7.4105716,9.399008,0.3513236,0.28160867,0.20616686,-38.04375,-53.850002,-21.768751,126.94459,-41.838745,0.41849914,0.2553504,0.2502904,0.6578813,0.66282964,986.01117
1747666370565,-1.1581261,6.771688,8.724232,0.47594002,0.17592905,0.27336198,-37.875,-53.775,-22.06875,126.72013,-42.154335,0.11575374,0.2555519,0.2542206,0.65883774,0.6603014,986.01117
1747666370586,-1.2442678,6.4558353,7.496713,0.3201695,0.040317077,0.27947062,-37.78125,-53.98125,-22.06875,126.25743,-42.77511,0.052883316,0.2575533,0.25817427,0.65985984,0.65696067,986.0114
1747666370609,-1.3950156,6.216553,7.140183,-0.04696023,-0.009162972,0.33811367,-37.800003,-54.206253,-22.125,125.934746,-42.997944,0.14473978,0.25866863,0.2596994,0.6613721,0.65439564,986.00433
1747666370631,-1.0815558,6.070591,7.3340015,-0.3041343,-0.116675176,0.38881543,-37.893753,-54.300003,-21.900002,125.451195,-42.821033,0.40090698,0.2579993,0.25827333,0.6636035,0.65296376,986.00433
1747666370651,-0.9236295,5.709275,7.499106,-0.45318532,-0.16920954,0.39186975,-38.025,-54.2625,-21.65625,125.02077,-42.36515,0.80732614,0.25670534,0.2543745,0.66645545,0.652099,985.99286
1747666370672,-0.5694918,5.4843497,7.7647095,-0.47456557,-0.17592905,0.31367907,-38.325,-54.093754,-21.6,124.60992,-41.755974,1.2402654,0.25424626,0.24806839,0.6702571,0.65159523,985.99286
1747666370693,-0.3397808,5.515456,7.812566,-0.36949682,-0.14905101,0.18906265,-38.49375,-53.568752,-21.45,124.29938,-41.136547,1.6219633,0.25227818,0.24321231,0.6726651,0.65170944,985.98456
1747666370714,-0.4235296,5.599205,7.609176,-0.19173518,-0.11300998,0.062002774,-38.475002,-53.268753,-21.31875,124.13825,-40.648613,1.8762835,0.2507703,0.23971204,0.6740338,0.6521739,985.98456
1747666370737,-0.6987042,5.7762737,7.123433,0.045280352,-0.06352994,-0.03573559,-38.662502,-53.1375,-21.50625,124.12955,-40.388317,1.9681276,0.2499984,0.23816659,0.6741297,0.65293694,985.9814
1747666370759,-1.0719845,6.056234,6.678368,0.21387903,-0.011606431,-0.043065965,-38.8125,-52.631252,-21.54375,124.22224,-40.39797,1.9117836,0.2503436,0.23935759,0.6732625,0.65326387,985.9814
1747666370781,-1.1102697,6.4414787,5.9581285,0.3097848,0.023823727,0.07422007,-39.225002,-52.48125,-21.28125,124.33166,-40.92385,1.6622704,0.25239506,0.24342561,0.6719007,0.6523727,985.98016
1747666370803,-1.105484,6.4773707,5.6853466,0.25847217,0.09590577,0.16157374,-39.24375,-52.406254,-21.206251,124.23672,-41.340466,1.5713814,0.25403115,0.24653655,0.6716086,0.6508685,985.98016
1747666370824,-0.95712906,6.474978,5.7810597,0.1625664,0.18509203,0.24098615,-39.112503,-52.518753,-20.962502,124.021835,-41.70718,1.4880762,0.2550107,0.24949965,0.672148,0.6487962,985.9777
1747666370846,-0.8925229,6.4941206,6.3314085,0.03978257,0.24495678,0.3149008,-39.15,-52.443752,-21.018751,123.48837,-42.025898,1.349647,0.25480333,0.25250182,0.67414176,0.64563996,985.9738
1747666370869,-0.7393822,6.506085,6.5371914,-0.014584397,0.109344795,0.36926776,-38.9625,-52.593754,-21.150002,123.036476,-42.08833,1.3242606,0.2539689,0.25411537,0.6770377,0.64229673,985.9738
1747666370890,-0.2632105,6.393622,6.384051,-0.03291034,-0.08307761,0.35888305,-38.9625,-52.256252,-21.431252,122.5553,-42.095337,1.5213846,0.2544105,0.25376067,0.6792388,0.63993394,985.9765
1747666370912,0.5168497,6.3720865,6.3194447,-0.029245151,-0.09590577,0.22510368,-39.05625,-52.256252,-21.73125,122.01122,-42.08402,2.008769,0.25603178,0.25220644,0.6813412,0.6376628,985.9765
1747666370933,0.7680961,6.424729,6.3457656,0.03978257,-0.07819069,0.07910699,-39.300003,-52.050003,-21.88125,121.73665,-42.095882,2.3426347,0.25737712,0.25130817,0.6821047,0.6366588,985.9843
1747666370956,0.8757731,6.896115,6.3481584,0.1051451,-0.0061086477,-0.13469568,-40.03125,-52.0875,-21.88125,121.68133,-42.27699,2.5315201,0.25896376,0.25169063,0.68161464,0.636389,985.9843
1747666370977,0.5886344,7.539784,6.788438,0.10575596,0.17104214,-0.26908594,-40.162502,-51.91875,-21.6,121.895546,-42.470695,2.3319826,0.25937638,0.2534125,0.6802295,0.6370195,985.9841
1747666370998,0.43788654,8.035098,7.4919276,0.13874267,0.34025168,-0.28130323,-40.143753,-51.862503,-21.581251,122.19639,-42.680298,1.8292586,0.25839692,0.25660187,0.6787242,0.63774604,985.9841
1747666371020,0.15074782,8.049456,8.817552,0.24258968,0.4300488,-0.28741187,-40.125,-51.99375,-21.6375,122.49372,-42.91742,1.102612,0.25579518,0.26236463,0.6771794,0.6380922,985.9782
1747666371040,0.37567315,8.056634,9.4229355,0.3012327,0.30543238,-0.32589635,-40.18125,-52.18125,-21.46875,122.814026,-43.19336,0.3605007,0.2541561,0.26705983,0.67565614,0.6384141,985.9782
1747666371063,0.70348984,8.489735,10.246066,0.3409389,-0.0048869182,-0.37171122,-39.956253,-52.406254,-21.618752,123.33811,-43.5598,-0.3527866,0.2539372,0.27139485,0.6726679,0.6398271,985.99115
1747666371085,0.8853444,8.537591,10.150353,0.41790786,-0.3970621,-0.4205804,-39.825,-53.062504,-21.862501,123.86215,-43.87829,-0.61156857,0.25612846,0.27305466,0.6691587,0.6419237,985.99115
1747666371105,0.782453,8.310273,9.0951185,0.44356418,-0.59559315,-0.3478875,-39.75,-53.86875,-22.181252,124.79033,-44.496124,-0.3640633,0.26227328,0.2730769,0.6633738,0.6454277,986.0102
1747666371126,0.9595219,8.054241,8.178668,0.36903867,-0.47769627,-0.25747952,-39.825,-54.018753,-21.956251,125.05896,-44.720932,-0.17632733,0.26656273,0.2726481,0.6600987,0.64720714,986.0102
1747666371149,1.1413764,7.408179,8.154739,0.0721584,0.20219624,-0.2538143,-40.3125,-54.675003,-21.45,125.61035,-45.223442,0.10661634,0.27080938,0.27331978,0.6562001,0.6491225,986.0153
1747666371171,0.9595219,7.396215,9.171689,-0.052458014,0.2913825,-0.33628106,-40.443752,-54.80625,-21.09375,125.89342,-45.25993,-0.29829562,0.26873627,0.2751111,0.65535146,0.65008396,986.0219
1747666371192,0.17706887,7.1138616,9.585648,0.013515383,0.043371398,-0.39858928,-40.0125,-54.787502,-21.0,126.4159,-45.0859,-1.0090744,0.26536235,0.27645805,0.6536434,0.6526133,986.0219
1747666371214,-0.11724831,6.991828,8.975478,0.1918879,-0.16493349,-0.36804602,-39.768753,-54.937504,-21.243752,126.98001,-45.010548,-1.4159241,0.2646361,0.2768658,0.65102893,0.655343,986.02167
1747666371236,0.031106694,6.8482585,7.7647095,0.33788458,-0.108123064,-0.28130323,-39.1875,-55.162502,-21.431252,127.76602,-45.26719,-1.7218549,0.26634002,0.27806664,0.64719975,0.6579319,986.02167
