Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,OrientationAzimuth,OrientationPitch,OrientationRoll,GameRotX,GameRotY,GameRotZ,GameRotW,Pressure
1747655981249,-0.52163535,4.505685,8.796016,-0.22785257,0.17486005,0.022220206,8.137501,-66.1125,-7.6687503,144.95537,-27.651367,-0.7392966,0.16343412,0.17379934,0.68945086,0.6839156,984.3864
1747655981271,-0.38285163,4.5296135,9.47797,-0.16432263,0.15347977,0.09796744,8.231251,-66.262505,-7.425,144.92737,-27.394005,-0.9954272,0.159542,0.1736853,0.6905959,0.6837083,984.3864
1747655981292,0.17467605,4.6492543,9.377472,-0.047647454,-0.02611447,0.118125975,8.137501,-66.09375,-7.4437504,144.82387,-27.156656,-1.1614811,0.15821996,0.17328966,0.6914681,0.6832343,984.3869
1747655981315,0.46660042,4.6803613,9.131011,0.028710645,-0.108581215,0.077198036,7.9875,-66.075005,-7.4062505,144.64236,-27.065079,-0.9626418,0.15965384,0.17136478,0.69256884,0.6822706,984.38983
1747655981337,0.5479564,4.7306104,8.819944,-0.0067195124,-0.0029016077,0.008170316,7.9500003,-66.1125,-7.5000005,144.5002,-27.12835,-0.5491989,0.16169272,0.17003244,0.6928878,0.68179977,984.38983
1747655981359,0.40677986,4.7210393,8.640483,-0.0971275,0.16019928,-0.029092435,7.7625003,-66.1125,-7.9500003,144.46417,-27.143599,-0.44621834,0.16189136,0.16982692,0.6931027,0.68158543,984.38934
1747655981381,0.18664017,4.6803613,8.88455,-0.14844014,0.20112723,-0.06146827,7.8,-66.09375,-7.7625003,144.46944,-27.073448,-0.5590469,0.16045578,0.17014992,0.69337946,0.6815628,984.38934
1747655981402,0.083748795,4.536792,9.245867,-0.077579826,0.08567379,-0.074907295,8.1,-66.39375,-7.6125,144.55621,-26.876043,-0.81632316,0.15829037,0.17028241,0.6934679,0.681946,984.38495
1747655981426,0.1052842,4.4195433,9.097511,0.011606431,-0.046883874,-0.07735075,8.175,-66.28125,-7.65,144.6477,-26.800621,-0.8375168,0.1578738,0.1697129,0.6930362,0.6826231,984.38495
1747655981448,0.148355,4.2520456,9.21476,0.041538805,-0.038331766,-0.04619665,8.38125,-66.318756,-7.14375,144.75493,-26.774988,-0.7694816,0.1582043,0.16917555,0.6926014,0.683121,984.3808
1747655981470,0.2440679,4.304688,8.977871,0.08857539,-0.030390523,-0.033368487,8.26875,-66.3375,-7.4812503,144.8082,-26.77503,-0.70027685,0.15866104,0.16872731,0.6923509,0.6833798,984.3808
1747655981492,0.27517462,4.462614,8.7577305,0.09040799,-0.016951498,-0.053527027,8.00625,-66.506256,-7.51875,144.848,-26.843102,-0.607761,0.15990989,0.16858423,0.6919558,0.6835242,984.3859
1747655981515,0.2632105,4.725825,8.539984,0.05986475,0.04780017,-0.109726585,8.212501,-66.3,-7.3875003,144.90631,-26.948751,-0.5486783,0.16093197,0.16893342,0.69143206,0.68372804,984.3859
1747655981538,-0.46899325,4.7880383,8.087741,-0.05986475,0.07589995,-0.13355032,8.53125,-66.3,-7.425,145.08844,-27.12541,-0.67376626,0.16116336,0.17071153,0.6901386,0.6845383,984.3879
1747655981559,-0.59342,4.6061835,8.662018,-0.10262528,0.037415467,-0.08468113,8.53125,-66.24375,-7.2000003,145.23645,-27.161976,-0.8939542,0.16012223,0.17179719,0.6893226,0.6853327,984.38275
1747655981579,-0.31106696,4.4841495,8.882157,-0.045814857,0.026419902,-0.05169443,8.700001,-66.131256,-7.5000005,145.34521,-27.087254,-1.0736611,0.15863813,0.17202854,0.68886054,0.6860841,984.38275
1747655981601,-0.30388847,4.536792,8.432307,-0.031154104,-0.019394957,-0.03092503,8.325001,-66.15,-7.425,145.42743,-27.014444,-1.1821958,0.15819183,0.17211664,0.68867314,0.6863531,984.3886
1747655981622,0.014356935,4.5726843,8.477771,-0.068416856,-0.11713332,-0.049861837,8.3625,-65.943756,-7.5375004,145.4816,-27.001143,-1.0760807,0.15883808,0.17131928,0.68818945,0.6868882,984.3886
1747655981643,-0.0741775,4.5391846,8.518449,-0.115453444,-0.020616686,-0.049861837,8.625,-65.606255,-7.8,145.53546,-26.943676,-0.98189425,0.15913098,0.17034255,0.6878428,0.6874104,984.38544
1747655981666,-0.023928227,4.5320063,8.760123,-0.1423315,0.083230324,-0.023594651,9.075001,-65.662506,-7.8187504,145.57072,-26.828573,-1.0150149,0.15829444,0.1698012,0.6878218,0.6877584,984.38544
1747655981689,0.2105684,4.642076,8.874979,-0.09407318,0.04963276,-0.043142326,9.056251,-65.55,-8.3625,145.5817,-26.7032,-1.0679108,0.15708858,0.16922678,0.6880635,0.68793464,984.3796
1747655981710,-0.15553348,4.7306104,8.597412,-0.07391464,0.020922119,-0.040698867,9.1875,-65.49375,-7.9687505,145.61134,-26.636913,-1.0684701,0.15678895,0.16892187,0.68796855,0.6881728,984.3796
1747655981731,-0.23928227,4.8263235,8.425129,-0.09040799,0.014202606,0.019165883,8.925,-65.2125,-8.025001,145.63957,-26.623129,-1.1047488,0.15648288,0.16914946,0.6878497,0.6883055,984.37274
1747655981751,-0.09571291,4.814359,8.882157,-0.082466744,-0.004123337,0.06620247,8.775001,-65.043755,-7.7625003,145.58603,-26.622837,-1.1266395,0.15645194,0.16914044,0.6881206,0.68804383,984.37274
1747655981773,0.1052842,4.910072,8.987442,-0.021380268,-0.024281874,0.1211803,8.587501,-65.043755,-7.51875,145.4846,-26.612259,-1.0720572,0.1566855,0.16887169,0.6886835,0.68749326,984.3808
